³ÇÊÐ±àºÅ,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3902446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1995962,1905254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1227451,2773316,1477668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,298100,3617141,1717880,1011480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1892629,3950977,2051716,2346702,1738113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,697173,3608168,1708907,1405513,581958,1193770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7607,3894169,1994145,1238860,296942,1887177,702217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,466009,3442070,1542809,1018001,176078,1590025,436741,460476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1706372,2295400,1086292,478551,1484268,2581206,1831158,1683627,1493697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2290029,3968141,2683038,1245348,2107018,3575320,2551522,2289540,2149716,1677985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1092305,2900370,1508585,126098,901008,2314312,1368719,1090436,942771,610214,1221849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1333783,2707565,1052841,497951,1113850,2067609,1334659,1341612,1065474,446484,1720009,519506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1435081,4172859,2270689,2143721,1361481,556406,781769,1429528,1210951,2404454,3334034,2131422,1892750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1954669,2864510,965249,1815003,1675853,1238827,1477810,1948104,1510534,1686820,3037367,1833834,1317684,1581623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,4115277,2666538,2122498,3555153,3838939,2996607,3829078,4115361,3740353,3179413,4777642,3620954,3110688,3551397,2010356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2320945,3686039,1786778,2610783,2097261,777277,1662061,2314298,1937603,2448381,3790930,2589994,2079245,1332067,856347,2223484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,174606,3838277,1939016,1279553,278707,1709189,521986,169053,414265,1745893,2365677,1159135,1380579,1252040,1843071,4060676,2174900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,820228,3258749,1359488,1170673,551793,1202063,355575,813581,386474,1501088,2368698,1156296,990061,981211,1131221,3478910,1563153,746354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1741437,3485884,2134446,696756,1558426,3026728,2002930,1740948,1601124,1195708,580503,670359,1186353,2805876,2516001,4234061,3237667,1803736,1798597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,823881,3151535,1517521,414936,636015,2064945,1057309,822604,653435,875824,1547124,350694,524452,1844093,1660980,3642702,2307775,890632,846806,992751,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2022442,4423657,2524913,2658555,1948840,487055,1372055,2016889,1798310,2911626,3848868,2629786,2400437,600449,1704411,3398426,1223647,1839642,1504813,3294925,2362148,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1554554,4320806,2421545,2294577,1482572,616506,932625,1549001,1361807,2551336,3480916,2278304,2039632,147283,1712849,3575136,1391720,1371754,1136861,2916981,1984086,592584,0,0,0,0,0,0,0,0,0,0,0,0
23,1118293,2880240,1231613,312569,902192,2059001,1231019,1117016,874643,604529,1535212,331172,225136,1861307,1555030,3330682,2268984,1170899,899217,980332,313255,2359735,1986338,0,0,0,0,0,0,0,0,0,0,0
24,772274,4172573,2273312,1871950,907793,1427091,577882,766721,873712,2289351,3019936,1771754,1897733,876117,2026838,4025557,2064597,629512,906539,2429135,1509488,1429950,932833,1684998,0,0,0,0,0,0,0,0,0,0
25,2211513,1743220,218697,1651783,1934395,2257226,1925314,2205980,1836552,1275612,2873841,1698401,1204726,2472960,1282973,1905038,1996656,2213971,1575616,2319232,1643396,2714568,2606365,1405791,2478894,0,0,0,0,0,0,0,0,0
26,1956069,3700599,2349078,911388,1773058,3241360,2217562,1955580,1815756,1376063,387431,884991,1400985,3020508,2730633,4448693,3489208,2018368,2013229,239337,1196185,3548292,3154168,1196774,2648272,2549535,0,0,0,0,0,0,0,0
27,1801492,3361559,1462298,2095589,1592179,582858,1154068,1795535,1439648,2033976,3275736,2073124,1659609,932475,647048,2546298,521609,1671118,1045963,2731956,1787650,1042920,1048526,1809461,1573396,1682605,2946617,0,0,0,0,0,0,0
28,941768,2990649,1091725,692556,664650,1657934,859131,936235,566064,937080,1914692,711159,502409,1448264,1235184,3211204,1930187,942018,521058,1360319,446790,1958668,1585271,417526,1378328,1312032,1575458,1409094,0,0,0,0,0,0
29,1695970,2990998,1091654,1770842,1410803,935972,1212987,1688564,1245484,1670553,2992914,1789381,1283579,1298029,302601,2291407,838349,1621046,868212,2437593,1577554,1416293,1416187,1473236,1764889,1312103,2652254,375266,1154419,0,0,0,0,0
30,1948273,2112499,447329,1094614,1673723,2335589,1799460,1950248,1575137,659446,2350259,1141663,704008,2322955,1467385,2546944,2181339,1966581,1449762,1762730,1124938,2803290,2456595,903147,2341235,647786,1977391,1760743,1030615,1395653,0,0,0,0
31,2019627,3697731,2412636,973393,1836616,3304918,2281120,2019138,1879314,1407575,275749,948549,1464543,3084066,2794191,4512251,3552766,2081926,2076787,302895,1259743,3544338,3217726,1260332,2711830,2613093,109287,3037163,1642123,2764247,2099615,0,0,0
32,1080487,3516291,1616947,1487273,881390,879071,351297,1074934,728859,1749701,2679281,1476669,1237997,671323,1182394,3177552,1314171,879412,333100,2124010,1191233,1179147,806192,1213491,863182,1835345,2338671,796007,828454,892559,1680184,2401716,0,0
33,1467476,4326597,2427253,2300285,1395494,697463,850442,1461923,1279628,2463230,3398750,2202505,2049314,162962,1753759,3647840,1472688,1284676,1146543,2844377,1905877,660111,82011,2025706,856230,2647560,3059038,1111847,1640669,1464921,2492399,3122083,830484,0
